time_s
12.150454
21.938027
76.608458
86.474762
98.757188
110.048005
122.872653
133.550476
144.085805
155.564104
166.560249
176.014286
190.479274
200.699161
213.257392
223.067211
234.946961
245.618095
257.218186
269.110385
282.451293
293.239048
304.534558
314.898571
325.652971
336.837188
350.643107
362.668980
376.090748
387.561202
